zmiana_parametru,2023,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080
stopa_inflacji_+1pp,2.0,2.4,2.6,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.1
stopa_inflacji_-1pp,-2.0,-2.4,-2.7,-2.8,-3.0,-3.1,-3.2,-3.3,-3.2,-3.1,-3.1
stopa_bezrobocia_+1pp,-1.4,-1.4,-1.3,-1.3,-1.3,-1.2,-1.0,-0.9,-0.8,-0.8,-0.4
stopa_bezrobocia_-1pp,1.4,1.4,1.3,1.3,1.3,1.1,1.0,0.8,0.8,0.8,0.4
realny_wzrost_wynagrodzen_+1pp,2.8,4.8,9.3,14.9,20.9,26.0,30.1,35.0,43.3,69.9,80.2
realny_wzrost_wynagrodzen_-1pp,-2.8,-4.9,-8.7,-12.6,-16.3,-18.4,-19.0,-19.7,-22.3,-31.8,-27.9
sciagalnosc_skladek_+1pp,1.4,1.5,1.7,2.0,2.2,2.4,2.6,2.7,2.9,3.4,3.8
sciagalnosc_skladek_-1pp,-1.4,-1.5,-1.7,-2.0,-2.2,-2.4,-2.6,-2.7,-2.9,-3.4,-3.8
realna_stopa_zwrotu_OFE_+1pp,0.1,0.2,0.6,1.0,1.0,0.3,-0.7,-1.2,-1.3,-0.8,-0.3
realna_stopa_zwrotu_OFE_-1pp,-0.1,-0.2,-0.6,-0.9,-0.8,-0.2,0.7,1.1,1.1,0.7,0.2
waloryzacja_+1pp,-1.4,-5.6,-16.8,-27.5,-36.4,-43.7,-49.0,-53.4,-57.8,-65.2,-70.4
waloryzacja_-1pp,1.4,5.5,15.8,24.9,31.9,37.3,41.1,44.3,47.6,52.9,56.8
prognoza_demograficzna_MF_2019,1.8,1.7,0.6,-0.6,0.4,4.6,9.2,13.0,15.9,25.9,46.1
