zmiana_parametru,2023,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080
stopa_inflacji_+1pp,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.9,-0.9,-0.9,-0.8,-0.7
stopa_inflacji_-1pp,1.0,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.7
stopa_bezrobocia_+1pp,0.0,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.8
stopa_bezrobocia_-1pp,0.0,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.5,0.7,0.8
realny_wzrost_wynagrodzen_+1pp,0.0,0.5,2.3,4.6,7.4,10.8,14.8,19.2,23.8,34.7,49.0
realny_wzrost_wynagrodzen_-1pp,0.0,-0.4,-2.1,-4.2,-6.6,-9.4,-12.4,-15.5,-18.5,-24.9,-32.0
sciagalnosc_skladek_+1pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sciagalnosc_skladek_-1pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
realna_stopa_zwrotu_OFE_+1pp,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.4,0.2,0.1
realna_stopa_zwrotu_OFE_-1pp,0.0,0.0,0.0,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.2,-0.1
waloryzacja_+1pp,0.7,2.4,6.2,9.5,11.8,13.4,14.3,15.0,15.8,17.1,16.6
waloryzacja_-1pp,-0.7,-2.3,-5.9,-8.6,-10.4,-11.4,-12.0,-12.4,-13.0,-13.9,-13.4
prognoza_demograficzna_MF_2019,-0.8,-0.6,-0.1,0.0,-0.6,-1.6,-2.0,-2.0,-1.9,-2.0,-1.7
